year,week_num,property_type,country,city,capacity,pets_allowed,property_id,booked_through,booking_id
2019,34,apartment,ITALY,Milan,4,yes,342,3rd Party,B-0
2019,46,apartment,BELGIUM,Brussels,4,no,909,3rd Party,B-1
2019,13,apartment,BELGIUM,Brussels,6,yes,7,3rd Party,B-2
2020,25,condo,SPAIN,Madrid,7,no,263,3rd Party,B-3
2020,25,house,SPAIN,Barcelona,6,yes,262,3rd Party,B-4
2020,25,condo,ITALY,Naples,7,yes,261,3rd Party,B-5
2020,25,apartment,FRANCE,Paris,9,no,260,3rd Party,B-6
2019,26,apartment,BELGIUM,Brussels,8,yes,45,3rd Party,B-7
2019,26,apartment,SPAIN,Barcelona,4,yes,44,Direct,B-8
2019,26,apartment,SPAIN,Barcelona,4,yes,41,Direct,B-9
2019,26,condo,SPAIN,Barcelona,7,no,40,3rd Party,B-10
2019,26,apartment,ITALY,Naples,5,yes,38,3rd Party,B-11
2020,25,condo,SPAIN,Madrid,6,no,250,3rd Party,B-12
2020,25,house,SPAIN,Madrid,6,yes,249,3rd Party,B-13
2019,26,apartment,SPAIN,Madrid,8,no,34,3rd Party,B-14
2020,25,house,ITALY,Rome,6,yes,247,Direct,B-15
2019,26,condo,FRANCE,Paris,5,no,32,3rd Party,B-16
2020,25,condo,FRANCE,Lyon,4,yes,96,3rd Party,B-17
2020,25,condo,BELGIUM,Brussels,4,yes,243,3rd Party,B-18
2019,26,condo,SPAIN,Barcelona,4,yes,31,3rd Party,B-19
2020,25,apartment,SPAIN,Madrid,5,yes,242,3rd Party,B-20
2020,25,apartment,FRANCE,Paris,7,no,241,Direct,B-21
2019,46,condo,ITALY,Rome,9,yes,910,3rd Party,B-22
2019,46,house,ITALY,Rome,7,yes,923,3rd Party,B-23
2020,25,apartment,ITALY,Rome,7,no,235,3rd Party,B-24
2020,25,apartment,SPAIN,Madrid,9,yes,234,Direct,B-25
2019,46,apartment,ITALY,Rome,6,yes,932,3rd Party,B-26
2019,26,apartment,ITALY,Rome,9,no,25,Direct,B-27
2020,25,apartment,BELGIUM,Brussels,7,yes,230,3rd Party,B-28
2019,46,apartment,ITALY,Rome,9,yes,934,3rd Party,B-29
2020,25,house,SPAIN,Madrid,7,yes,228,3rd Party,B-30
2020,25,apartment,ITALY,Rome,9,no,226,Direct,B-31
2019,13,condo,ITALY,Rome,6,yes,4,3rd Party,B-32
2020,25,house,SPAIN,Madrid,9,yes,265,3rd Party,B-33
2019,26,apartment,BELGIUM,Brussels,4,no,53,3rd Party,B-34
2020,25,condo,SPAIN,Barcelona,8,no,271,3rd Party,B-35
2020,25,apartment,SPAIN,Madrid,9,yes,317,Direct,B-36
2019,26,apartment,ITALY,Rome,6,no,80,Direct,B-37
2020,25,apartment,SPAIN,Barcelona,7,yes,316,Direct,B-38
2019,12,apartment,BELGIUM,Brussels,5,no,968,3rd Party,B-39
2020,25,apartment,SPAIN,Barcelona,9,yes,310,3rd Party,B-40
2020,25,apartment,SPAIN,Madrid,5,yes,309,Direct,B-41
2020,25,apartment,ITALY,Milan,4,yes,305,3rd Party,B-42
2019,12,condo,BELGIUM,Brussels,6,yes,972,3rd Party,B-43
2019,26,apartment,ITALY,Rome,5,yes,74,Direct,B-44
2020,25,house,FRANCE,Paris,5,no,301,3rd Party,B-45
2020,25,apartment,SPAIN,Barcelona,6,yes,296,3rd Party,B-46
2019,26,condo,SPAIN,Madrid,4,no,71,3rd Party,B-47
2020,25,house,FRANCE,Paris,5,yes,295,Direct,B-48
2020,25,apartment,BELGIUM,Brussels,6,yes,294,3rd Party,B-49
2019,12,condo,BELGIUM,Brussels,6,no,981,3rd Party,B-50
2020,25,house,ITALY,Rome,7,no,293,3rd Party,B-51
2020,25,house,ITALY,Rome,7,yes,292,Direct,B-52
2019,46,apartment,BELGIUM,Brussels,5,yes,849,3rd Party,B-53
2020,25,house,FRANCE,Paris,6,yes,290,3rd Party,B-54
2020,25,condo,FRANCE,Nice,6,no,289,3rd Party,B-55
2019,46,condo,BELGIUM,Brussels,9,yes,859,3rd Party,B-56
2019,26,apartment,SPAIN,Madrid,7,yes,60,Direct,B-57
2020,25,apartment,SPAIN,Madrid,5,no,281,3rd Party,B-58
2019,26,condo,SPAIN,Barcelona,8,no,59,3rd Party,B-59
2019,26,apartment,SPAIN,Madrid,8,yes,58,Direct,B-60
2020,25,apartment,SPAIN,Madrid,6,no,279,3rd Party,B-61
2019,26,condo,ITALY,Rome,5,no,57,3rd Party,B-62
2020,25,condo,SPAIN,Barcelona,5,no,275,3rd Party,B-63
2020,25,condo,BELGIUM,Brussels,6,no,274,3rd Party,B-64
2019,26,house,SPAIN,Madrid,5,yes,19,3rd Party,B-65
2019,26,apartment,FRANCE,Paris,6,yes,17,3rd Party,B-66
2020,25,condo,SPAIN,Barcelona,5,yes,223,3rd Party,B-67
2019,13,condo,BELGIUM,Brussels,6,yes,79,3rd Party,B-68
2019,46,condo,ITALY,Rome,9,no,979,3rd Party,B-69
2019,25,house,SPAIN,Madrid,8,yes,991,3rd Party,B-70
2019,46,condo,BELGIUM,Brussels,6,no,981,3rd Party,B-71
2019,25,house,BELGIUM,Brussels,6,yes,989,3rd Party,B-72
2019,13,condo,BELGIUM,Brussels,8,no,87,3rd Party,B-73
2019,46,house,BELGIUM,Brussels,6,yes,989,3rd Party,B-74
2020,25,apartment,BELGIUM,Brussels,5,yes,157,Direct,B-75
2020,25,condo,SPAIN,Madrid,9,no,155,3rd Party,B-76
2019,47,condo,ITALY,Rome,6,yes,4,3rd Party,B-77
2019,25,condo,BELGIUM,Brussels,6,no,981,3rd Party,B-78
2019,25,condo,SPAIN,Madrid,4,yes,980,3rd Party,B-79
2020,25,apartment,ITALY,Rome,9,yes,143,3rd Party,B-80
2019,13,house,BELGIUM,Brussels,9,yes,97,3rd Party,B-81
2019,25,apartment,ITALY,Rome,6,no,978,3rd Party,B-82
2020,25,condo,FRANCE,Lyon,4,yes,133,3rd Party,B-83
2020,25,apartment,BELGIUM,Brussels,8,yes,130,Direct,B-84
2020,25,apartment,SPAIN,Barcelona,5,no,128,3rd Party,B-85
2020,25,apartment,SPAIN,Barcelona,7,yes,124,Direct,B-86
2020,25,apartment,ITALY,Naples,9,yes,121,3rd Party,B-87
2020,25,house,ITALY,Rome,5,yes,120,3rd Party,B-88
2020,25,condo,FRANCE,Lyon,4,no,118,3rd Party,B-89
2019,25,apartment,SPAIN,Madrid,4,yes,966,Direct,B-90
2019,13,house,ITALY,Rome,5,yes,120,3rd Party,B-91
2019,47,apartment,BELGIUM,Brussels,8,yes,45,3rd Party,B-92
2019,25,apartment,FRANCE,Paris,9,no,962,Direct,B-93
2019,25,condo,ITALY,Rome,5,yes,956,3rd Party,B-94
2020,25,house,BELGIUM,Brussels,6,yes,102,Direct,B-95
2019,47,condo,ITALY,Rome,5,no,57,3rd Party,B-96
2020,25,house,SPAIN,Madrid,9,yes,99,3rd Party,B-97
2019,25,apartment,ITALY,Rome,9,no,998,3rd Party,B-98
2019,26,condo,ITALY,Naples,6,yes,0,3rd Party,B-99
2020,25,apartment,SPAIN,Barcelona,8,yes,222,Direct,B-100
2019,46,condo,ITALY,Rome,5,yes,956,3rd Party,B-101
2019,13,apartment,BELGIUM,Brussels,8,yes,45,3rd Party,B-102
2019,26,apartment,SPAIN,Madrid,8,yes,15,3rd Party,B-103
2020,25,house,BELGIUM,Brussels,9,yes,216,Direct,B-104
2020,25,condo,BELGIUM,Brussels,8,no,214,3rd Party,B-105
2019,46,house,BELGIUM,Brussels,6,yes,939,3rd Party,B-106
